match_id,steam_id,total_money_per_map,total_money
0,76561197960710573,70700.0,70700
0,76561197965021087,60300.0,60300
0,76561197996370184,58700.0,58700
0,76561198013243326,72100.0,72100
0,76561198016432560,69500.0,69500
0,76561198037812456,72800.0,72800
0,76561198043769572,60600.0,60600
0,76561198058500492,60300.0,60300
0,76561198114929868,69300.0,69300
0,76561198164970560,62100.0,62100
71154,76561198020474058,68025.0,136050
71154,76561198039794524,66200.0,132400
71154,76561198089905186,70850.0,141700
71154,76561198094514426,1400.0,1400
71154,76561198132385509,69950.0,139900
71154,76561198135415618,66650.0,133300
71154,76561198141759568,68150.0,136300
71154,76561198203239207,72750.0,145500
71154,76561198210934463,73800.0,147600
71154,76561198231480708,1700.0,1700
71154,76561198276534844,66350.0,132700
71154,76561198376077082,73925.0,147850
71155,76561197994380596,68725.0,137450
71155,76561198003142163,68375.0,136750
71155,76561198010496342,70825.0,141650
71155,76561198015308884,63625.0,127250
71155,76561198025578864,60525.0,121050
71155,76561198036884160,61575.0,123150
71155,76561198054820484,71025.0,142050
71155,76561198067763828,70525.0,141050
71155,76561198130490651,62625.0,125250
71155,76561198249302730,63725.0,127450
71156,76561198032999467,80050.0,160100
71156,76561198061787931,75500.0,151000
71156,76561198061971891,76400.0,152800
71156,76561198067197966,77300.0,154600
71156,76561198124141035,79750.0,159500
71156,76561198153580037,78150.0,156300
71156,76561198162408395,82100.0,164200
71156,76561198233075160,80800.0,161600
71156,76561198353869335,76900.0,153800
71156,76561198976995212,73500.0,147000
71157,76561197968809739,77100.0,231300
71157,76561198048174130,76566.66666666667,229700
71157,76561198068647874,75033.33333333333,225100
71157,76561198074461526,77366.66666666667,232100
71157,76561198086253541,76400.0,229200
71157,76561198124872474,75933.33333333333,227800
71157,76561198147414643,75866.66666666667,227600
71157,76561198260998400,77400.0,232200
71157,76561198273434890,76433.33333333333,229300
71157,76561198294067334,75933.33333333333,227800
71158,76561197967180708,73516.66666666667,220550
71158,76561197986522194,77950.0,233850
71158,76561198029235071,74583.33333333333,223750
71158,76561198052394260,78583.33333333333,235750
71158,76561198066983877,73950.0,221850
71158,76561198124022613,73883.33333333333,221650
71158,76561198131439566,73183.33333333333,219550
71158,76561198272012791,76716.66666666667,230150
71158,76561198424351549,76950.0,230850
71158,76561198862150627,75650.0,226950
71159,76561197979669175,81025.0,162050
71159,76561197990682262,78075.0,156150
71159,76561198000664245,73950.0,147900
71159,76561198010511021,77975.0,155950
71159,76561198024248129,76575.0,153150
71159,76561198028458803,80775.0,161550
71159,76561198137761601,75850.0,151700
71159,76561198167125683,75600.0,151200
71159,76561198252434500,76350.0,152700
71159,76561198283989223,73750.0,147500
71160,76561198093550552,73900.0,73900
71160,76561198116296213,73300.0,73300
71160,76561198118747221,76300.0,76300
71160,76561198121512116,80000.0,80000
71160,76561198128463598,80200.0,80200
71160,76561198147656930,72800.0,72800
71160,76561198441362330,80100.0,80100
71160,76561198823425843,79500.0,79500
71160,76561198959824088,81900.0,81900
71160,76561199167979664,74000.0,74000
71161,76561197996678278,73475.0,146950
71161,76561197999004010,66975.0,133950
71161,76561198004115516,72675.0,145350
71161,76561198022365638,75075.0,150150
71161,76561198023592320,67075.0,134150
71161,76561198054861139,67025.0,134050
71161,76561198054870849,68175.0,136350
71161,76561198064864198,77525.0,155050
71161,76561198156353883,66775.0,133550
71161,76561198160709585,74875.0,149750
71162,76561198024500837,106200.0,212400
71162,76561198029535730,107250.0,214500
71162,76561198033152432,105525.0,211050
71162,76561198046438211,106600.0,213200
71162,76561198053792941,108850.0,217700
71162,76561198076204322,103850.0,207700
71162,76561198077824240,61850.0,61850
71162,76561198100733569,69800.0,139600
71162,76561198147205437,105175.0,210350
71162,76561198996491569,105775.0,211550
71162,76561199161452558,108475.0,216950
71163,76561198035510513,82775.0,165550
71163,76561198062114681,83275.0,166550
71163,76561198071291375,82575.0,165150
71163,76561198084163512,85800.0,171600
71163,76561198094488464,83200.0,166400
71163,76561198123400196,86650.0,173300
71163,76561198129824467,84650.0,169300
71163,76561198201554338,88450.0,176900
71163,76561198803032451,80575.0,161150
71163,76561199046478501,84975.0,169950
71164,76561198021715100,86050.0,172100
71164,76561198034202275,87725.0,175450
71164,76561198044045107,91175.0,182350
71164,76561198064058958,83250.0,166500
71164,76561198121220486,89975.0,179950
71164,76561198191236195,84700.0,169400
71164,76561198246607476,89875.0,179750
71164,76561198272723319,87200.0,174400
71164,76561198306519263,87850.0,175700
71164,76561198359519930,87025.0,174050
71165,76561198003756239,77350.0,77350
71165,76561198020624803,69900.0,69900
71165,76561198026618874,77650.0,77650
71165,76561198040577200,70700.0,70700
71165,76561198052775739,74950.0,74950
71165,76561198084607254,69900.0,69900
71165,76561198107142008,73900.0,73900
71165,76561198176878303,71200.0,71200
71165,76561198327980204,78850.0,78850
71165,76561198845436666,77050.0,77050
71166,76561197979820713,91833.33333333333,275500
71166,76561198013295375,93166.66666666667,279500
71166,76561198031890115,89700.0,269100
71166,76561198035581101,89400.0,268200
71166,76561198047876970,91500.0,274500
71166,76561198071702537,89766.66666666667,269300
71166,76561198085355849,92100.0,276300
71166,76561198150625317,92433.33333333333,277300
71166,76561198168198200,89700.0,269100
71166,76561198260883606,91566.66666666667,274700
71167,76561198032999467,73300.0,146600
71167,76561198089905186,75475.0,150950
71167,76561198124141035,75150.0,150300
71167,76561198132385509,73925.0,147850
71167,76561198153580037,73650.0,147300
71167,76561198162408395,72400.0,144800
71167,76561198203239207,76625.0,153250
71167,76561198210934463,79325.0,158650
71167,76561198233075160,72100.0,144200
71167,76561198376077082,76175.0,152350
71168,76561197968809739,64566.666666666664,193700
71168,76561197986522194,68900.0,206700
71168,76561198048174130,62733.333333333336,188200
71168,76561198052394260,68566.66666666667,205700
71168,76561198068647874,63100.0,189300
71168,76561198074461526,64500.0,193500
71168,76561198086253541,63666.666666666664,191000
71168,76561198272012791,67033.33333333333,201100
71168,76561198424351549,67800.0,203400
71168,76561198862150627,67133.33333333333,201400
71169,76561197967516987,65500.0,131000
71169,76561197977148799,68650.0,137300
71169,76561197992220633,65100.0,130200
71169,76561197993724724,59050.0,118100
71169,76561198049479497,59000.0,118000
71169,76561198139517277,66850.0,133700
71169,76561198148130529,67450.0,134900
71169,76561198242008362,57200.0,114400
71169,76561198279418200,58950.0,117900
71169,76561198820328961,58200.0,116400
71170,76561197996678278,64375.0,128750
71170,76561198000664245,56850.0,113700
71170,76561198004115516,62725.0,125450
71170,76561198022365638,62325.0,124650
71170,76561198064864198,64025.0,128050
71170,76561198137761601,56300.0,112600
71170,76561198160709585,63625.0,127250
71170,76561198167125683,56850.0,113700
71170,76561198252434500,59500.0,119000
71170,76561198283989223,58150.0,116300
71171,76561198002708642,72225.0,144450
71171,76561198016194159,72725.0,145450
71171,76561198017015164,71725.0,143450
71171,76561198024500837,68200.0,136400
71171,76561198029535730,68900.0,137800
71171,76561198046438211,67100.0,134200
71171,76561198053792941,68750.0,137500
71171,76561198076204322,67150.0,134300
71171,76561198153651861,71725.0,143450
71171,76561198166157419,71475.0,142950
71172,76561197963429969,103500.0,103500
71172,76561197980539257,99600.0,99600
71172,76561198009341865,94300.0,94300
71172,76561198014818598,100800.0,100800
71172,76561198077608198,103200.0,103200
71172,76561198085380858,97300.0,97300
71172,76561198170577338,101600.0,101600
71172,76561198231549032,100300.0,100300
71172,76561198245783634,96500.0,96500
71172,76561198833874690,105000.0,105000
71173,76561198013230247,97050.0,97050
71173,76561198048266764,98050.0,98050
71173,76561198072083240,99750.0,99750
71173,76561198121512116,97050.0,97050
71173,76561198128463598,92650.0,92650
71173,76561198151914303,97750.0,97750
71173,76561198403715595,97350.0,97350
71173,76561198441362330,92550.0,92550
71173,76561198823425843,95350.0,95350
71173,76561198959824088,96750.0,96750
71174,76561198018474860,81266.66666666667,243800
71174,76561198025749082,82866.66666666667,248600
71174,76561198076621599,72816.66666666667,218450
71174,76561198130696658,74616.66666666667,223850
71174,76561198138346717,75583.33333333333,226750
71174,76561198159295202,81866.66666666667,245600
71174,76561198164926020,78933.33333333333,236800
71174,76561198168694063,80866.66666666667,242600
71174,76561198179278254,75016.66666666667,225050
71174,76561198344226986,74216.66666666667,222650
71175,76561198033438750,69625.0,139250
71175,76561198035510513,61150.0,122300
71175,76561198062114681,60650.0,121300
71175,76561198065294895,69725.0,139450
71175,76561198071291375,61150.0,122300
71175,76561198134164683,67375.0,134750
71175,76561198169560297,69775.0,139550
71175,76561198215434685,69175.0,138350
71175,76561198803032451,59850.0,119700
71175,76561199046478501,62400.0,124800
71176,76561197999004010,76966.66666666667,230900
71176,76561198021715100,74816.66666666667,224450
71176,76561198023592320,76066.66666666667,228200
71176,76561198054861139,75766.66666666667,227300
71176,76561198054870849,75500.0,226500
71176,76561198064058958,74383.33333333333,223150
71176,76561198156353883,75166.66666666667,225500
71176,76561198191236195,77516.66666666667,232550
71176,76561198272723319,75016.66666666667,225050
71176,76561198306519263,75650.0,226950
71177,76561198015208369,74666.66666666667,224000
71177,76561198018211001,79100.0,237300
71177,76561198069567550,75933.33333333333,227800
71177,76561198102158293,79133.33333333333,237400
71177,76561198129793636,79066.66666666667,237200
71177,76561198130153710,75766.66666666667,227300
71177,76561198170267106,73566.66666666667,220700
71177,76561198217764976,75933.33333333333,227800
71177,76561198237043662,75466.66666666667,226400
71177,76561198316213980,78800.0,236400
71178,76561198079183361,72716.66666666667,218150
71178,76561198093816306,73216.66666666667,219650
71178,76561198138425037,75666.66666666667,227000
71178,76561198152419994,72116.66666666667,216350
71178,76561198157961577,73733.33333333333,221200
71178,76561198158709510,78100.0,234300
71178,76561198160115091,71750.0,215250
71178,76561198199480329,75200.0,225600
71178,76561198205517292,78033.33333333333,234100
71178,76561198347909753,72250.0,216750
71179,76561197978321481,65616.66666666667,196850
71179,76561197994395491,65816.66666666667,197450
71179,76561197997981170,67283.33333333333,201850
71179,76561198012987839,67683.33333333333,203050
71179,76561198013295375,69033.33333333333,207100
71179,76561198031890115,70233.33333333333,210700
71179,76561198035581101,67933.33333333333,203800
71179,76561198047402862,65083.333333333336,195250
71179,76561198047876970,69766.66666666667,209300
71179,76561198168198200,70933.33333333333,212800
71180,76561197974106188,79100.0,158200
71180,76561198003756239,73450.0,146900
71180,76561198026618874,74900.0,149800
71180,76561198027648194,77450.0,154900
71180,76561198052775739,74400.0,148800
71180,76561198064010365,75250.0,150500
71180,76561198144926364,77200.0,154400
71180,76561198327068178,77150.0,154300
71180,76561198327980204,74000.0,148000
71180,76561198845436666,73400.0,146800
71181,76561197979669175,72683.33333333333,218050
71181,76561197990682262,71816.66666666667,215450
71181,76561198010511021,72316.66666666667,216950
71181,76561198024248129,70616.66666666667,211850
71181,76561198028458803,73683.33333333333,221050
71181,76561198034202275,79816.66666666667,239450
71181,76561198044045107,78750.0,236250
71181,76561198121220486,79583.33333333333,238750
71181,76561198146207066,78250.0,234750
71181,76561198246607476,78050.0,234150
71182,76561198018474860,62100.0,124200
71182,76561198025749082,64850.0,129700
71182,76561198079183361,61450.0,122900
71182,76561198093816306,61650.0,123300
71182,76561198152419994,61450.0,122900
71182,76561198159295202,63050.0,126100
71182,76561198160115091,62250.0,124500
71182,76561198164926020,61250.0,122500
71182,76561198168694063,63150.0,126300
71182,76561198347909753,61400.0,122800
71183,76561197992382988,76800.0,230400
71183,76561198007131317,64816.666666666664,194450
71183,76561198034241132,75733.33333333333,227200
71183,76561198043882667,75833.33333333333,227500
71183,76561198128804839,77333.33333333333,232000
71183,76561198132948107,76450.0,229350
71183,76561198145599897,76083.33333333333,228250
71183,76561198278441856,77716.66666666667,233150
71183,76561198423423861,38050.0,38050
71183,76561198950367286,77550.0,232650
71183,76561199241953370,76150.0,228450
71184,76561198027229236,93100.0,93100
71184,76561198061423730,86650.0,86650
71184,76561198120646382,94400.0,94400
71184,76561198130114333,90300.0,90300
71184,76561198131356591,85350.0,85350
71184,76561198161674889,90400.0,90400
71184,76561198242601266,89500.0,89500
71184,76561198348587735,91150.0,91150
71184,76561198842550599,90150.0,90150
71184,76561198855876580,88650.0,88650
71185,76561198015308884,72925.0,145850
71185,76561198025578864,71325.0,142650
71185,76561198036884160,73025.0,146050
71185,76561198089905186,74800.0,149600
71185,76561198130490651,69775.0,139550
71185,76561198132385509,73450.0,146900
71185,76561198203239207,77950.0,155900
71185,76561198210934463,75800.0,151600
71185,76561198249302730,71625.0,143250
71185,76561198376077082,78850.0,157700
71186,76561197967180708,71350.0,71350
71186,76561198029235071,75950.0,75950
71186,76561198066983877,73650.0,73650
71186,76561198124022613,72950.0,72950
71186,76561198124872474,81550.0,81550
71186,76561198131439566,70550.0,70550
71186,76561198147414643,77350.0,77350
71186,76561198260998400,76650.0,76650
71186,76561198273434890,77550.0,77550
71186,76561198294067334,74650.0,74650
71187,76561197986522194,89933.33333333333,269800
71187,76561197993724724,89150.0,267450
71187,76561198049479497,89216.66666666667,267650
71187,76561198052394260,90666.66666666667,272000
71187,76561198242008362,85916.66666666667,257750
71187,76561198272012791,88433.33333333333,265300
71187,76561198279418200,86550.0,259650
71187,76561198424351549,89366.66666666667,268100
71187,76561198820328961,85316.66666666667,255950
71187,76561198862150627,87866.66666666667,263600
71188,76561197976393269,79300.0,158600
71188,76561198002051785,81200.0,162400
71188,76561198013230247,78800.0,157600
71188,76561198048266764,79800.0,159600
71188,76561198072083240,79950.0,159900
71188,76561198108796479,82200.0,164400
71188,76561198151914303,76850.0,153700
71188,76561198364937038,81200.0,162400
71188,76561198403715595,79500.0,159000
71188,76561198445796842,79950.0,159900
71189,76561198024500837,77566.66666666667,232700
71189,76561198029535730,76200.0,228600
71189,76561198035510513,80450.0,241350
71189,76561198046438211,77033.33333333333,231100
71189,76561198053792941,77300.0,231900
71189,76561198062114681,77350.0,232050
71189,76561198071291375,78383.33333333333,235150
71189,76561198076204322,75766.66666666667,227300
71189,76561198803032451,75416.66666666667,226250
71189,76561199046478501,78650.0,235950
71190,76561198009341865,73300.0,146600
71190,76561198018211001,79500.0,159000
71190,76561198085380858,76950.0,153900
71190,76561198102158293,78800.0,157600
71190,76561198129793636,77500.0,155000
71190,76561198130153710,79300.0,158600
71190,76561198170577338,75600.0,151200
71190,76561198231549032,76900.0,153800
71190,76561198245783634,72900.0,145800
71190,76561198316213980,78300.0,156600
71191,76561197974106188,76775.0,153550
71191,76561198027648194,80375.0,160750
71191,76561198054042778,83075.0,166150
71191,76561198064010365,77175.0,154350
71191,76561198072279954,79425.0,158850
71191,76561198080114546,83125.0,166250
71191,76561198144926364,78425.0,156850
71191,76561198197951546,81525.0,163050
71191,76561198222442504,83025.0,166050
71191,76561198327068178,78575.0,157150
71192,76561198002708642,76300.0,152600
71192,76561198016194159,75900.0,151800
71192,76561198017015164,76700.0,153400
71192,76561198033438750,71275.0,142550
71192,76561198065294895,66625.0,133250
71192,76561198134164683,70375.0,140750
71192,76561198153651861,72600.0,145200
71192,76561198166157419,77400.0,154800
71192,76561198169560297,68725.0,137450
71192,76561198215434685,70525.0,141050
71193,76561197996678278,61575.0,123150
71193,76561198004115516,60825.0,121650
71193,76561198022365638,61825.0,123650
71193,76561198034202275,68400.0,136800
71193,76561198044045107,69600.0,139200
71193,76561198064864198,60825.0,121650
71193,76561198121220486,68650.0,137300
71193,76561198146207066,67950.0,135900
71193,76561198160709585,61025.0,122050
71193,76561198246607476,68800.0,137600
71194,76561197999004010,74800.0,149600
71194,76561198000664245,79425.0,158850
71194,76561198023592320,73800.0,147600
71194,76561198054861139,75150.0,150300
71194,76561198054870849,74150.0,148300
71194,76561198137761601,80975.0,161950
71194,76561198156353883,74350.0,148700
71194,76561198167125683,76125.0,152250
71194,76561198252434500,81675.0,163350
71194,76561198283989223,75925.0,151850
71195,76561197979669175,84583.33333333333,253750
71195,76561197990682262,82483.33333333333,247450
71195,76561198010511021,82616.66666666667,247850
71195,76561198021715100,79150.0,237450
71195,76561198024248129,81816.66666666667,245450
71195,76561198028458803,84216.66666666667,252650
71195,76561198064058958,78616.66666666667,235850
71195,76561198191236195,80050.0,240150
71195,76561198272723319,81450.0,244350
71195,76561198306519263,81916.66666666667,245750
71196,76561198091947107,86900.0,173800
71196,76561198098166757,86200.0,172400
71196,76561198132948107,88725.0,177450
71196,76561198137897027,83900.0,167800
71196,76561198145599897,89425.0,178850
71196,76561198169934019,86800.0,173600
71196,76561198278441856,87775.0,175550
71196,76561198396338183,85950.0,171900
71196,76561198950367286,87475.0,174950
71196,76561199241953370,90325.0,180650
71197,76561198013295375,74550.0,223650
71197,76561198031890115,75016.66666666667,225050
71197,76561198035581101,75550.0,226650
71197,76561198047876970,75750.0,227250
71197,76561198116523276,69566.66666666667,208700
71197,76561198156362373,69966.66666666667,209900
71197,76561198168198200,74850.0,224550
71197,76561198174263909,69933.33333333333,209800
71197,76561198287546191,70033.33333333333,210100
71197,76561198362970723,70366.66666666667,211100
71198,76561198061423730,68725.0,137450
71198,76561198078729750,63800.0,127600
71198,76561198131356591,68075.0,136150
71198,76561198174005827,63450.0,126900
71198,76561198332320607,64000.0,128000
71198,76561198348587735,65825.0,131650
71198,76561198416814570,63050.0,126100
71198,76561198842550599,70375.0,140750
71198,76561198855876580,71375.0,142750
71198,76561199016517194,62950.0,125900
71199,76561197967516987,71350.0,142700
71199,76561197977148799,69600.0,139200
71199,76561197986522194,61850.0,123700
71199,76561197992220633,69550.0,139100
71199,76561198052394260,61450.0,122900
71199,76561198139517277,70850.0,141700
71199,76561198148130529,69050.0,138100
71199,76561198272012791,59850.0,119700
71199,76561198424351549,62400.0,124800
71199,76561198862150627,63000.0,126000
71200,76561197994380596,77983.33333333333,233950
71200,76561198003142163,76683.33333333333,230050
71200,76561198010496342,77250.0,231750
71200,76561198054820484,77016.66666666667,231050
71200,76561198067763828,79750.0,239250
71200,76561198089905186,77633.33333333333,232900
71200,76561198132385509,77033.33333333333,231100
71200,76561198203239207,78800.0,236400
71200,76561198210934463,78366.66666666667,235100
71200,76561198376077082,79933.33333333333,239800
71201,76561198018591028,65700.0,131400
71201,76561198068168375,67900.0,135800
71201,76561198068506849,64750.0,129500
71201,76561198086803740,66350.0,132700
71201,76561198092328908,57425.0,114850
71201,76561198093838916,55675.0,111350
71201,76561198142171301,67300.0,134600
71201,76561198158795735,57425.0,114850
71201,76561198177034285,57225.0,114450
71201,76561198850174383,57275.0,114550
71202,76561197986943405,61250.0,122500
71202,76561198129799489,59550.0,119100
71202,76561198175390571,61550.0,123100
71202,76561198188347379,70375.0,140750
71202,76561198193109002,60550.0,121100
71202,76561198209342312,68725.0,137450
71202,76561198222914476,69625.0,139250
71202,76561198271683669,68525.0,137050
71202,76561198307459336,66925.0,133850
71202,76561198422822248,59800.0,119600
71203,76561198019990506,64700.0,129400
71203,76561198026827950,66400.0,132800
71203,76561198028624820,53125.0,106250
71203,76561198037207775,52575.0,105150
71203,76561198065572000,64550.0,129100
71203,76561198070876270,66400.0,132800
71203,76561198102263776,52075.0,104150
71203,76561198152429194,54325.0,108650
71203,76561198186570085,64650.0,129300
71203,76561198196671698,54725.0,109450
71204,76561198031708240,86750.0,86750
71204,76561198064469140,83050.0,83050
71204,76561198082467854,86150.0,86150
71204,76561198148167683,86050.0,86050
71204,76561198158068052,83350.0,83350
71204,76561198206398129,86050.0,86050
71204,76561198328327898,84550.0,84550
71204,76561198862368967,82050.0,82050
71204,76561198868128397,85050.0,85050
71204,76561198925747864,88650.0,88650
71205,76561197979093036,67200.0,134400
71205,76561197995422314,66450.0,132900
71205,76561197997480650,66900.0,133800
71205,76561198020624803,74625.0,149250
71205,76561198040577200,74175.0,148350
71205,76561198076775225,66100.0,132200
71205,76561198084607254,72925.0,145850
71205,76561198107142008,73025.0,146050
71205,76561198119388735,65600.0,131200
71205,76561198176878303,72575.0,145150
71206,76561198030545997,68150.0,136300
71206,76561198030921948,66950.0,133900
71206,76561198047198945,69550.0,139100
71206,76561198152403112,65650.0,131300
71206,76561198188347379,60450.0,120900
71206,76561198190930470,68600.0,137200
71206,76561198209342312,61450.0,122900
71206,76561198222914476,59550.0,119100
71206,76561198271683669,59250.0,118500
71206,76561198307459336,58300.0,116600
71207,76561197979620397,72400.0,144800
71207,76561198138425037,62600.0,125200
71207,76561198139604328,70400.0,140800
71207,76561198157961577,61500.0,123000
71207,76561198158709510,63850.0,127700
71207,76561198178801031,72050.0,144100
71207,76561198182462587,75050.0,150100
71207,76561198190463461,71350.0,142700
71207,76561198199480329,63000.0,126000
71207,76561198205517292,62550.0,125100
71208,76561197967893362,77600.0,155200
71208,76561198048229390,79500.0,159000
71208,76561198051022353,71775.0,143550
71208,76561198076649517,80900.0,161800
71208,76561198079033498,75625.0,151250
71208,76561198090815918,74125.0,148250
71208,76561198119554726,77950.0,155900
71208,76561198259972105,81100.0,162200
71208,76561198282924562,74525.0,149050
71208,76561198374401449,75125.0,150250
71209,76561197987038596,95950.0,287850
71209,76561197991000831,96050.0,288150
71209,76561198019990506,93216.66666666667,279650
71209,76561198020539756,92983.33333333333,278950
71209,76561198026827950,92550.0,277650
71209,76561198065572000,93650.0,280950
71209,76561198070459137,94150.0,282450
71209,76561198070876270,95050.0,285150
71209,76561198186570085,92816.66666666667,278450
71209,76561198218523971,93616.66666666667,280850
71210,76561198033438750,72350.0,144700
71210,76561198065294895,70700.0,141400
71210,76561198088906330,64125.0,128250
71210,76561198096708443,67725.0,135450
71210,76561198117680294,65375.0,130750
71210,76561198134164683,72200.0,144400
71210,76561198155754447,65575.0,131150
71210,76561198169560297,74450.0,148900
71210,76561198215434685,71650.0,143300
71210,76561198298496976,63575.0,127150
71211,76561197977791735,81325.0,162650
71211,76561198007588478,82625.0,165250
71211,76561198010975327,82775.0,165550
71211,76561198082670832,79525.0,159050
71211,76561198127439015,76875.0,153750
71211,76561198180072669,78475.0,156950
71211,76561198198570973,81325.0,162650
71211,76561198202134392,81225.0,162450
71211,76561198205135895,80975.0,161950
71211,76561198219516767,81375.0,162750
71212,76561197994406450,47450.0,47450
71212,76561198015308884,56700.0,56700
71212,76561198025578864,58000.0,58000
71212,76561198036884160,56800.0,56800
71212,76561198040445719,44850.0,44850
71212,76561198073482216,48450.0,48450
71212,76561198076604369,45050.0,45050
71212,76561198095992783,45350.0,45350
71212,76561198130490651,58700.0,58700
71212,76561198249302730,57600.0,57600
71213,76561198032999467,66800.0,66800
71213,76561198061787931,71050.0,71050
71213,76561198061971891,75050.0,75050
71213,76561198067197966,69850.0,69850
71213,76561198124141035,69100.0,69100
71213,76561198131134848,74050.0,74050
71213,76561198153580037,67400.0,67400
71213,76561198167738896,69700.0,69700
71213,76561198233075160,67600.0,67600
71213,76561198353869335,72450.0,72450
71214,76561198025448130,88225.0,176450
71214,76561198030545997,83475.0,166950
71214,76561198030921948,86125.0,172250
71214,76561198040547485,86375.0,172750
71214,76561198047198945,84875.0,169750
71214,76561198152403112,81275.0,162550
71214,76561198171689321,84775.0,169550
71214,76561198190930470,86325.0,172650
71214,76561198249125106,82325.0,164650
71214,76561198251984554,83725.0,167450
71215,76561197974106188,82975.0,165950
71215,76561198003756239,80200.0,160400
71215,76561198026618874,80700.0,161400
71215,76561198027648194,82875.0,165750
71215,76561198052775739,77850.0,155700
71215,76561198064010365,82075.0,164150
71215,76561198144926364,81625.0,163250
71215,76561198327068178,82225.0,164450
71215,76561198327980204,79800.0,159600
71215,76561198845436666,79300.0,158600
71216,76561198084354639,50675.0,101350
71216,76561198088906330,62175.0,124350
71216,76561198096708443,63425.0,126850
71216,76561198117680294,64925.0,129850
71216,76561198144615457,51225.0,102450
71216,76561198155754447,65325.0,130650
71216,76561198184131963,53275.0,106550
71216,76561198278135849,53275.0,106550
71216,76561198298496976,64025.0,128050
71216,76561198881298747,53125.0,106250
71217,76561198027229236,113850.0,113850
71217,76561198091947107,114100.0,114100
71217,76561198098166757,116700.0,116700
71217,76561198120646382,110350.0,110350
71217,76561198130114333,113250.0,113250
71217,76561198137897027,110400.0,110400
71217,76561198161674889,109750.0,109750
71217,76561198169934019,113500.0,113500
71217,76561198242601266,111050.0,111050
71217,76561198396338183,110600.0,110600
71218,76561198015308884,80900.0,80900
71218,76561198025578864,79200.0,79200
71218,76561198036884160,79000.0,79000
71218,76561198061787931,79650.0,79650
